channel,viewCount,subscriberCount,videoCount,ageOf10thVideo,last28DaysNumberOfVideos,last28DaysViews,last28DaysLikes,bestNumberOfVideos,bestViews,bestLikes
Bhaktipāda Gosvāmī,1667985,7470,1102,12,14,4646,414,803,2553,170
Hinduizmus | Leveles Zoltán spritiuális tanításai ,837072,9490,156,116,3,3021,227,706,91090,2497
